2020/02/05 20:26:33.840 [I] [db.go:30]  db is connect
2020/02/05 20:26:34.014 [I] [msghandler.go:112]  Add api NameSpace = *.*
2020/02/05 20:26:34.015 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:26:34.015 [I] [server.go:71]  [START] Server name: fishServer, listenner at IP: 127.0.0.1, Port 8003 is starting
2020/02/05 20:26:34.016 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:26:34.016 [I] [connmanager.go:87]  Clear All Connections successfully: conn num = 0
2020/02/05 20:26:34.017 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:26:34.017 [I] [msghandler.go:117]  Worker ID = 1 is started.
2020/02/05 20:26:34.017 [I] [server.go:95]  start server fishServer succ, now listenning...
2020/02/05 20:26:34.019 [I] [connmanager.go:36]  connection add to ConnManager successfully: conn num = 1
2020/02/05 20:26:34.026 [I] [client.go:129]  ---> CallOnConnStart....
2020/02/05 20:26:34.026 [I] [connection.go:68]  WorldClientName1 [Writer Goroutine is running]
2020/02/05 20:26:34.026 [I] [connection.go:96]  WorldClientName1 [Reader Goroutine is running]
2020/02/05 20:26:34.028 [I] [masterclient.go:21]  mClientConnStart:127.0.0.1:8000
2020/02/05 20:26:34.750 [E] [connection.go:109]  WorldClientName1 read msg head error read tcp4 127.0.0.1:35539->127.0.0.1:8000: wsarecv: An existing connection was forcibly closed by the remote host.
2020/02/05 20:26:34.759 [I] [connection.go:171]  WorldClientName1 Conn Stop()...ConnID = 0
2020/02/05 20:26:34.761 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:26:34.766 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:26:34.771 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:26:34.799 [I] [connmanager.go:48]  connection Remove ConnID = 0, successfully: conn num = 0
2020/02/05 20:26:34.799 [I] [connection.go:87]  WorldClientName1 127.0.0.1:8000 [conn Writer exit!]
2020/02/05 20:26:34.812 [I] [connection.go:154]  WorldClientName1 127.0.0.1:8000 [conn Reader exit!]
2020/02/05 20:26:35.957 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:37.945 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:39.724 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:26:39.726 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:26:39.978 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:41.197 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:26:41.727 [E] [client.go:87]  client start exit err:dial tcp4 127.0.0.1:8000: connectex: No connection could be made because the target machine actively refused it.
2020/02/05 20:26:41.729 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:26:41.730 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:26:41.731 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:26:41.960 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:43.230 [I] [table.go:195]  产生了2条鱼
2020/02/05 20:26:43.941 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:45.211 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:26:45.974 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:46.228 [I] [table.go:195]  产生了2条鱼
2020/02/05 20:26:46.685 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:26:46.686 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:26:47.244 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:26:47.957 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:48.210 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:26:48.689 [E] [client.go:87]  client start exit err:dial tcp4 127.0.0.1:8000: connectex: No connection could be made because the target machine actively refused it.
2020/02/05 20:26:48.690 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:26:48.691 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:26:48.692 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:26:48.973 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:49.227 [I] [table.go:195]  产生了5条鱼
2020/02/05 20:26:49.938 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:50.244 [I] [table.go:195]  产生了4条鱼
2020/02/05 20:26:51.210 [I] [table.go:195]  产生了11条鱼
2020/02/05 20:26:51.972 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:53.702 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:26:53.704 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:26:53.956 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:55.226 [I] [table.go:195]  产生了2条鱼
2020/02/05 20:26:55.708 [E] [client.go:87]  client start exit err:dial tcp4 127.0.0.1:8000: connectex: No connection could be made because the target machine actively refused it.
2020/02/05 20:26:55.709 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:26:55.712 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:26:55.712 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:26:55.938 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:56.243 [I] [table.go:195]  产生了5条鱼
2020/02/05 20:26:57.979 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:26:59.212 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:26:59.974 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:00.736 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:27:00.736 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:27:01.244 [I] [table.go:195]  产生了5条鱼
2020/02/05 20:27:01.955 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:02.739 [E] [client.go:87]  client start exit err:dial tcp4 127.0.0.1:8000: connectex: No connection could be made because the target machine actively refused it.
2020/02/05 20:27:02.740 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:27:02.741 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:27:02.746 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:27:03.227 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:03.939 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:03.939 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:03.939 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:05.210 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:07.245 [I] [table.go:195]  产生了7条鱼
2020/02/05 20:27:07.752 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:27:07.753 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:27:09.225 [I] [table.go:195]  产生了4条鱼
2020/02/05 20:27:09.757 [E] [client.go:87]  client start exit err:dial tcp4 127.0.0.1:8000: connectex: No connection could be made because the target machine actively refused it.
2020/02/05 20:27:09.758 [I] [client.go:136]  ---> CallOnConnStop....
2020/02/05 20:27:09.759 [I] [masterclient.go:41]  mClientConnStop:WorldClientName1,WorldClientId1,127.0.0.1:8000
2020/02/05 20:27:09.759 [I] [masterclient.go:43]  mClientConnStop end
2020/02/05 20:27:11.208 [I] [table.go:195]  产生了11条鱼
2020/02/05 20:27:13.240 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:14.715 [I] [msghandler.go:112]  Add api NameSpace = MasterClient
2020/02/05 20:27:14.715 [I] [msghandler.go:117]  Worker ID = 0 is started.
2020/02/05 20:27:14.716 [I] [connmanager.go:87]  Clear All Connections successfully: conn num = 0
2020/02/05 20:27:14.717 [I] [connmanager.go:36]  connection add to ConnManager successfully: conn num = 1
2020/02/05 20:27:14.717 [I] [client.go:129]  ---> CallOnConnStart....
2020/02/05 20:27:14.717 [I] [connection.go:96]  WorldClientName1 [Reader Goroutine is running]
2020/02/05 20:27:14.717 [I] [connection.go:68]  WorldClientName1 [Writer Goroutine is running]
2020/02/05 20:27:14.718 [I] [masterclient.go:21]  mClientConnStart:127.0.0.1:8000
2020/02/05 20:27:16.240 [I] [table.go:195]  产生了2条鱼
2020/02/05 20:27:16.750 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:16.752 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905636 1} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 0 0 1580905636 0}]
